db_column_name	index_column_name	dt_column_typy
JOB_ID	idxJobID	INT
FILE_NUMBER	idxFileNumber	INT	
DOCUMENT_ID	IdxDocumentID	STR
PACKET_ID	IdxPacketID	STR
SRC_DATABASE	IdxDatabaseSource	STR	
POLICY_STATE	IdxPolicyState	STR
POLICY_ID	IdxPolicyID	STR
ADDRESSEE	IdxAddresse	STR
ADDRESS_ID	IdxAddressID	STR
PRIMARY_ADDRESS	IdxAddress1	STR
SECONDARY_ADDRESS	IdxAddress2	STR
CITY	IdxCity	STR
PKG_STATE	IdxState	STR
ZIP	IdxZip	STR
RECEPTION_DATE	IdxPacketReception	STR
DISPOSITION_CODE	idxDispositionCode	INT
PROCESSED_DATE	idxProcessingDate	STR
OPERATOR_ID	idxOperatorID	STR
PULL_REQUEST	idxPull_Request	STR
PULL_REQUEST_CONF	idxPull_Request_Confirm	STR
SAFE_FLAG	idxSafe_Flag	STR
