  PID %CPU %MEM PRI    SZ     TIME  C COMMAND
 2364  0.0  2.6  19 286073 00:00:19  0 mysqld
 2375  0.2 21.9  19 541427 00:02:07  0 java
 2376  0.0  0.0  19  4103 00:00:00  0 dlauncher
 2378  0.2 19.5  19 483195 00:02:24  0 java
 2425  0.0  0.0  19  4237 00:00:00  0 dlauncher
15167  0.0  0.0  19 24974 00:00:00  0 sshd
15168  0.0  0.0  19 27118 00:00:00  0 sh
20970  0.0  0.0  19 24974 00:00:00  0 sshd
20971  0.0  0.1  19 14329 00:00:00  0 sftp-server
31462  0.0  0.0  19 24974 00:00:00  0 sshd
31463  0.0  0.0  19 27118 00:00:00  0 sh
31498  1.0  0.2  19 30474 00:00:00  1 python
31499  0.0  0.0  19 27017 00:00:00  0 ps
 2364  0.0  2.6  19 286073 00:00:19  0 mysqld
 2375  0.2 21.9  19 541427 00:02:07  0 java
 2376  0.0  0.0  19  4103 00:00:00  0 dlauncher
 2378  0.2 19.5  19 483195 00:02:24  0 java
 2425  0.0  0.0  19  4237 00:00:00  0 dlauncher
15167  0.0  0.0  19 24974 00:00:00  0 sshd
15168  0.0  0.0  19 27118 00:00:00  0 sh
20970  0.0  0.0  19 24974 00:00:00  0 sshd
20971  0.0  0.1  19 14329 00:00:00  0 sftp-server
31462  0.0  0.0  19 24974 00:00:00  0 sshd
31463  0.0  0.0  19 27118 00:00:00  0 sh
31498  1.0  0.2  19 30474 00:00:00  1 python
31499  0.0  0.0  19 27017 00:00:00  0 ps
 2364  0.0  2.6  19 286073 00:00:19  0 mysqld
 2375  0.2 21.9  19 541427 00:02:07  0 java
 2376  0.0  0.0  19  4103 00:00:00  0 dlauncher
 2378  0.2 19.5  19 483195 00:02:24  0 java
 2425  0.0  0.0  19  4237 00:00:00  0 dlauncher
15167  0.0  0.0  19 24974 00:00:00  0 sshd
15168  0.0  0.0  19 27118 00:00:00  0 sh
20970  0.0  0.0  19 24974 00:00:00  0 sshd
20971  0.0  0.1  19 14329 00:00:00  0 sftp-server
31462  0.0  0.0  19 24974 00:00:00  0 sshd
31463  0.0  0.0  19 27118 00:00:00  0 sh
31498  1.0  0.2  19 30474 00:00:00  1 python
31499  0.0  0.0  19 27017 00:00:00  0 ps
 2364  0.0  2.6  19 286073 00:00:19  0 mysqld
 2375  0.2 21.9  19 541427 00:02:07  0 java
 2376  0.0  0.0  19  4103 00:00:00  0 dlauncher
 2378  0.2 19.5  19 483195 00:02:24  0 java
 2425  0.0  0.0  19  4237 00:00:00  0 dlauncher
15167  0.0  0.0  19 24974 00:00:00  0 sshd
15168  0.0  0.0  19 27118 00:00:00  0 sh
20970  0.0  0.0  19 24974 00:00:00  0 sshd
20971  0.0  0.1  19 14329 00:00:00  0 sftp-server
31462  0.0  0.0  19 24974 00:00:00  0 sshd
31463  0.0  0.0  19 27118 00:00:00  0 sh
31498  1.0  0.2  19 30474 00:00:00  1 python
31499  0.0  0.0  19 27017 00:00:00  0 ps
